"id_discente","discente_matricula","sexo","ano_nascimento","raca","ano_ingresso","periodo_ingresso","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","programa_cota","discente_situacao","periodo_atual","data_colacao_grau"
"5e25ca639657dbf6c3f16764515e7675"," 2017206***","F","1973","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"5f23c38ba3e89dcad5832e6c7345ae72"," 2017101***","F","1996","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"5f480797791a1a2a0c616acb3a70f0ce"," 2017207***","F","1991","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"5f81c29cfc780f75861e8d6741a1811d"," 2017207***","F","1994","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"607b8c304a7bcb2cc808c7f35330f0ca"," 2017208***","F","1991","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"628be57dd033301e281e64dfdbed7e97"," 2015200***","M","1962","Negra","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","Ampla Concorrência","ATIVO","10",""
"63115761f5102101f391da1e190132d1"," 2015201***","F","1989","Branca","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","NENHUM","ATIVO","11",""
"63e8600b8e45ceee7509b4b1e08e0f0b"," 2014101***","M","1963","Parda","2014","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","","ATIVO","14",""
"643cdaa68f628f7d8ddf3c793aadc95a"," 2017208***","F","1978","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"64c41ad5981edec39ec2abdd108c90a2"," 2017100***","F","1985","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"65cc6b4d45415ae4c0f5780de50784bb"," 2017208***","M","1987","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","6",""
"6a06782999e43e37a91650822470b10c"," 2015201***","M","1990","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"6a5829e1e6daeba1a5805b46f2df2354"," 2017207***","F","1975","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"6a71159afdc9cd07581b18eed0e19e68"," 2015200***","F","1962","Não declarada","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","ESCOLA PÚBLICA","ATIVO","10",""
"6e03395a622bcd80645cda9e1f6cae28"," 2017207***","M","1984","Não declarada","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"6fa7cbbabda418b239f73df6cc4fff07"," 2017208***","F","1973","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"70a2a9ed0daf9c73ac351d2d0c531bb9"," 2017101***","F","1994","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"7125ae3a11dd7b951ee4c29542f30257"," 2015201***","M","1979","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"71f8c09c2643d31ceed28509a3882e73"," 2017101***","M","1984","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"720be720e0e7e30259aaf3d55a291424"," 2017207***","M","1984","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"75519527eb05f168c3402a81188b5f25"," 2017101***","F","1986","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","ÉTNICO","ATIVO","7",""
"766208fe6260b3ceabb920b5c544b849"," 2017208***","F","1991","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"78e6197ad73be47ba7ec26bee1dde02c"," 2017207***","F","1995","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"79d2c3fc6c56edd0c62bdbfe52eedc21"," 2017208***","M","1996","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"7a25b20d91686517057a68a1fe03d064"," 2017207***","M","1990","Branca","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"7a5943dc49003cc42f1893ac5b92f5ff"," 2017208***","M","1997","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"7ab30a380f028c956be39b3a30cfb955"," 2017100***","M","1975","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"7b36f4be064961f2feda47cd1ad960aa"," 2015200***","M","1987","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"7bd5bd37507a76c3d2d356e400d2d9b9"," 2015201***","M","1990","Amarela","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","NENHUM","ATIVO","11",""
"7c5b41e8a711d4423c2570239761fef3"," 2017206***","F","1998","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"7db5c8191307d1dbac5e3119d38d38be"," 2017206***","F","1998","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"7f48fc107c18b49412a6e4c89cdfce09"," 2017206***","F","1997","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"80e42b34d3b137b03072f45c749823e6"," 2015201***","F","1990","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"8188dcaab62d3cbf53c8dc7bca5def9c"," 2017208***","F","1990","Não declarada","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","6",""
"823b4398e65c2fff033d9bc2c6016e16"," 2017207***","F","1974","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"82ca81cb7f235872ebaa30dc2fb16ab6"," 2017208***","M","1986","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","6",""
"83309b2718cc4a765c4f24a41693faa9"," 2015200***","F","1990","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","ESCOLA PÚBLICA","ATIVO","10",""
"843ed603f80889e93928292b2efacedd"," 2015200***","F","1987","Não declarada","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","ESCOLA PÚBLICA","ATIVO","11",""
"87f5310517a48b490992053be0860571"," 2017208***","F","1988","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"8838f74d5160019ee5a6df85bde99fdc"," 2017206***","M","1998","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","Ampla Concorrência","ATIVO","7",""
"88c867549972831f6bcc5c085e0c69cf"," 2017100***","F","1997","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"8903a5c01abecf05a586adf7581b493b"," 2017207***","M","1991","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"8b140deee1a6b976cde1b77f59478b26"," 2017101***","M","1988","Branca","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"901152e28521a36595b6ffaabb292cd7"," 2015200***","F","1989","Amarela","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","NENHUM","ATIVO","10",""
"90727b11d7db013983438336bf0aed05"," 2015200***","F","1954","Negra","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","NENHUM","ATIVO","11",""
"9317f3a6e37e7485a11528a7907dc5d7"," 2017207***","M","1987","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"93eb125817eb0db9d13e2318cb2d0e22"," 2017206***","F","1988","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"94a870879b8e35341ddd5d73b9b3f160"," 2017101***","F","1987","Branca","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"94deaae180bdad552f22f33718bfdb5f"," 2017207***","M","1971","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"957c851fa225da2b862fc36831ae9451"," 2017207***","F","1993","Branca","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"9aba08f0a09b139f43474d2f78943156"," 2017101***","F","1995","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"9c139b0240c91b45c8955162a389c52f"," 2014100***","F","1985","Parda","2014","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","","ATIVO","14",""
"9d8373acf10e5f5f40d18422d253181b"," 2017207***","M","1986","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"9ddfe3fdb22a4e5de0089242ab454255"," 2017101***","F","1982","Negra","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","ÉTNICO","ATIVO","8",""
"9f4aba96b60d04a08a5560866413f4b9"," 2017207***","M","1995","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"a016901c7f07afb7f0ce141e43d70fcf"," 2017208***","M","1969","Branca","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
